"Unidade da Federação";"Óbitos p/Ocorrênc"
"RONDÔNIA";522
"ACRE";399
"AMAZONAS";1594
"RORAIMA";224
"PARÁ";3090
"AMAPÁ";387
"TOCANTINS";467
"MARANHÃO";2277
"PIAUÍ";1228
"CEARÁ";2355
"RIO GRANDE DO NORTE";798
"PARAÍBA";1010
"PERNAMBUCO";3016
"ALAGOAS";1184
"SERGIPE";762
"BAHIA";4532
"MINAS GERAIS";4048
"ESPÍRITO SANTO";739
"RIO DE JANEIRO";3620
"SÃO PAULO";8796
"PARANÁ";2228
"SANTA CATARINA";1050
"RIO GRANDE DO SUL";1838
"MATO GROSSO DO SUL";875
"MATO GROSSO";935
"GOIÁS";1232
"DISTRITO FEDERAL";827